2020-10-09,15.18
2020-09-30,15.17
2020-09-29,14.8
2020-09-28,15.31
2020-09-25,15.19
2020-09-24,15.12
2020-09-23,15.63
2020-09-22,15.57
2020-09-21,15.86
2020-09-18,16.07
2020-09-17,15.57
2020-09-16,15.44
2020-09-15,15.35
2020-09-14,15.3
2020-09-11,15.01
2020-09-10,15.34
2020-09-09,15.21
2020-09-08,15.43
2020-09-07,14.94
2020-09-04,14.96
2020-09-03,14.9
2020-09-02,15.32
2020-09-01,15.14
2020-08-31,15.08
2020-08-28,15.13
2020-08-27,14.46
2020-08-26,14.37
2020-08-25,14.6
2020-08-24,14.46
2020-08-21,14.45
2020-08-20,14.59
2020-08-19,15.1
2020-08-18,15.15
2020-08-17,15.19
2020-08-14,14.47
2020-08-13,14.18
2020-08-12,14.38
2020-08-11,14.13
2020-08-10,13.95
2020-08-07,13.7
2020-08-06,13.9
2020-08-05,13.76
2020-08-04,14.04
2020-08-03,13.59
2020-07-31,13.34
2020-07-30,13.37
2020-07-29,13.54
2020-07-28,13.34
2020-07-27,13.24
2020-07-24,13.5
2020-07-23,14.01
2020-07-22,14.41
2020-07-21,14.49
2020-07-20,14.73
2020-07-17,14.14
2020-07-16,14.15
2020-07-15,14.27
2020-07-14,14.68
2020-07-13,14.89
2020-07-10,14.86
2020-07-09,15.53
2020-07-08,15.76
2020-07-07,15.48
2020-07-06,15.68
2020-07-03,14.25
2020-07-02,13.43
2020-07-01,13.12
2020-06-30,12.8
2020-06-29,12.8
2020-06-26,13.23
2020-06-24,12.8
2020-06-23,12.6
2020-06-22,12.64
2020-06-19,12.8
2020-06-18,12.76
2020-06-17,12.85
2020-06-16,12.89
2020-06-15,12.82
2020-06-12,12.99
2020-06-11,13.08
2020-06-10,13.49
2020-06-09,13.67
2020-06-08,13.62
2020-06-05,13.59
2020-06-04,13.57
2020-06-03,13.54
2020-06-02,13.55
2020-06-01,13.32
2020-05-29,13.0
2020-05-28,13.07
2020-05-27,13.0
2020-05-26,13.04
2020-05-25,12.96
2020-05-22,12.92
2020-05-21,13.4
2020-05-20,13.51
2020-05-19,13.36
2020-05-18,13.2
2020-05-15,13.23
2020-05-14,13.3
2020-05-13,13.63
2020-05-12,13.79
2020-05-11,14.0
2020-05-08,13.95
2020-05-07,13.69
2020-05-06,13.77
2020-04-30,13.93
2020-04-29,14.02
2020-04-28,13.52
2020-04-27,13.5
2020-04-24,13.24
2020-04-23,13.23
2020-04-22,13.23
2020-04-21,13.45
2020-04-20,12.99
2020-04-17,12.89
2020-04-16,12.68
2020-04-15,12.87
2020-04-14,12.86
2020-04-13,12.59
2020-04-10,12.79
2020-04-09,12.74
2020-04-08,12.78
2020-04-07,12.88
2020-04-03,12.61
2020-04-02,12.97
2020-04-01,12.89
2020-03-31,12.8
2020-03-30,12.94
2020-03-27,13.15
2020-03-26,13.06
2020-03-25,12.87
2020-03-24,12.61
2020-03-23,12.15
2020-03-20,12.52
2020-03-19,12.23
2020-03-18,12.71
2020-03-17,13.41
2020-03-16,13.75
2020-03-13,14.52
2020-03-12,14.68
2020-03-11,14.69
2020-03-10,14.76
2020-03-09,14.45
2020-03-06,15.03
2020-03-05,15.39
2020-03-04,14.69
2020-03-03,14.72
2020-03-02,14.79
2020-02-28,14.5
2020-02-27,15.11
2020-02-26,14.99
2020-02-25,15.04
2020-02-24,15.23
2020-02-21,15.58
2020-02-20,15.59
2020-02-19,15.24
2020-02-18,15.2
2020-02-17,15.37
2020-02-14,15.03
2020-02-13,14.65
2020-02-12,14.77
2020-02-11,14.79
2020-02-10,14.5
2020-02-07,14.62
