,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,688239.SH,20210812,58.42,58.6,55.7,57.25,58.18,-0.93,-1.5985,23236.65,132109.332
1,688239.SH,20210811,60.0,60.0,56.55,58.18,59.18,-1.0,-1.6898,35365.14,204095.132
2,688239.SH,20210810,59.5,64.82,58.62,59.18,60.4,-1.22,-2.0199,56876.5,350716.469
3,688239.SH,20210809,60.3,63.27,58.9,60.4,62.36,-1.96,-3.143,37056.74,224319.224
4,688239.SH,20210806,62.0,63.15,58.5,62.36,61.9,0.46,0.7431,50873.63,312237.779
5,688239.SH,20210805,57.8,65.97,56.61,61.9,56.68,5.22,9.2096,68662.58,424027.326
6,688239.SH,20210804,53.8,58.64,53.36,56.68,54.2,2.48,4.5756,48890.62,278911.801
7,688239.SH,20210803,55.0,56.21,51.0,54.2,56.71,-2.51,-4.426,43164.04,234423.251
8,688239.SH,20210802,53.61,57.99,52.1,56.71,53.09,3.62,6.8186,59455.98,331579.553
9,688239.SH,20210730,57.9,59.38,51.8,53.09,59.55,-6.46,-10.848,80271.23,432679.09
10,688239.SH,20210729,58.0,60.5,55.99,59.55,57.0,2.55,4.4737,60853.58,355770.783
11,688239.SH,20210728,57.58,61.0,53.51,57.0,57.74,-0.74,-1.2816,75910.42,439082.852
12,688239.SH,20210727,56.81,63.5,54.9,57.74,55.01,2.73,4.9627,91953.3,538665.375
13,688239.SH,20210726,53.88,60.01,51.31,55.01,51.78,3.23,6.2379,109462.05,614780.269
14,688239.SH,20210723,43.6,51.78,43.16,51.78,43.15,8.63,20.0,82890.16,394491.698
15,688239.SH,20210722,44.49,44.49,42.2,43.15,44.78,-1.63,-3.64,40719.97,174896.175
16,688239.SH,20210721,46.0,46.46,43.62,44.78,45.8,-1.02,-2.2271,50588.86,226605.319
17,688239.SH,20210720,45.5,46.93,44.51,45.8,46.98,-1.18,-2.5117,40647.54,185844.971
18,688239.SH,20210719,44.58,47.88,43.91,46.98,44.5,2.48,5.573,59466.84,274810.894
19,688239.SH,20210716,43.58,47.48,40.62,44.5,43.82,0.68,1.5518,73809.04,325289.565
20,688239.SH,20210715,44.0,46.24,42.5,43.82,44.02,-0.2,-0.4543,49410.33,219464.592
21,688239.SH,20210714,50.48,50.93,43.7,44.02,50.5,-6.48,-12.8317,84889.92,397902.256
22,688239.SH,20210713,46.58,50.5,46.05,50.5,47.1,3.4,7.2187,66508.18,324632.804
23,688239.SH,20210712,46.99,50.58,46.09,47.1,47.05,0.05,0.1063,77844.59,376606.256
24,688239.SH,20210709,46.0,48.9,44.5,47.05,45.89,1.16,2.5278,83702.18,390454.029
25,688239.SH,20210708,41.05,50.4,39.51,45.89,40.52,5.37,13.2527,108144.24,491380.904
26,688239.SH,20210707,40.89,41.78,38.0,40.52,41.0,-0.48,-1.1707,100109.25,401085.585
27,688239.SH,20210706,38.12,43.0,36.12,41.0,39.12,1.88,4.8057,150764.4,595002.207
28,688239.SH,20210705,37.71,42.3,35.6,39.12,11.48,27.64,240.7666,213813.64,842330.084
