,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600660.SH,20210812,51.29,52.14,50.05,51.92,51.09,0.83,1.6246,229331.61,1172602.909
1,600660.SH,20210811,52.42,52.7,50.5,51.09,52.72,-1.63,-3.0918,250941.13,1284771.841
2,600660.SH,20210810,54.5,54.9,52.14,52.72,54.4,-1.68,-3.0882,250105.33,1318874.361
3,600660.SH,20210809,53.46,55.58,52.83,54.4,53.52,0.88,1.6442,308674.32,1692936.13
4,600660.SH,20210806,55.71,56.66,53.44,53.52,53.99,-0.47,-0.8705,370711.98,2034597.781
5,600660.SH,20210805,53.58,54.78,52.57,53.99,53.8,0.19,0.3532,220061.78,1185950.371
6,600660.SH,20210804,51.8,54.45,51.8,53.8,51.75,2.05,3.9614,288147.63,1545699.143
7,600660.SH,20210803,50.73,52.0,49.57,51.75,50.73,1.02,2.0106,280071.36,1425303.353
8,600660.SH,20210802,48.18,51.0,48.1,50.73,48.3,2.43,5.0311,305633.86,1524539.747
9,600660.SH,20210730,49.9,49.9,48.18,48.3,49.97,-1.67,-3.342,152365.76,740664.48
10,600660.SH,20210729,47.8,50.25,47.8,49.97,47.46,2.51,5.2887,328246.93,1617106.529
11,600660.SH,20210728,44.7,47.95,44.7,47.46,46.12,1.34,2.9055,316439.01,1467837.469
12,600660.SH,20210727,48.1,48.54,46.0,46.12,48.01,-1.89,-3.9367,246367.73,1161837.296
13,600660.SH,20210726,49.19,49.2,46.0,48.01,49.18,-1.17,-2.379,235685.38,1128391.702
14,600660.SH,20210723,51.13,51.15,48.58,49.18,50.71,-1.53,-3.0172,333333.85,1651947.824
15,600660.SH,20210722,51.99,52.0,50.2,50.71,51.64,-0.93,-1.8009,249070.88,1264799.292
16,600660.SH,20210721,51.33,52.19,50.95,51.64,51.2,0.44,0.8594,225788.4,1161547.993
17,600660.SH,20210720,51.5,51.86,50.67,51.2,51.5,-0.3,-0.5825,118952.01,608563.161
18,600660.SH,20210719,52.11,52.32,51.09,51.5,51.7,-0.2,-0.3868,127479.47,657161.907
19,600660.SH,20210716,51.29,52.52,50.03,51.7,51.02,0.68,1.3328,206227.72,1065559.995
20,600660.SH,20210715,51.31,51.69,49.88,51.02,51.06,-0.04,-0.0783,229008.82,1161811.096
21,600660.SH,20210714,54.19,54.19,51.0,51.06,53.95,-2.89,-5.3568,396243.57,2045220.398
22,600660.SH,20210713,55.1,55.42,53.71,53.95,54.5,-0.55,-1.0092,188306.77,1023472.991
23,600660.SH,20210712,53.88,55.0,52.7,54.5,53.95,0.55,1.0195,247753.51,1347601.741
24,600660.SH,20210709,53.09,54.0,49.67,53.95,53.64,0.31,0.5779,308120.25,1601031.77
25,600660.SH,20210708,54.6,55.14,53.36,53.64,54.94,-1.3,-2.3662,182326.46,981799.677
26,600660.SH,20210707,52.64,55.24,51.86,54.94,52.64,2.3,4.3693,229505.91,1247374.637
27,600660.SH,20210706,52.79,53.6,52.0,52.64,53.0,-0.36,-0.6792,182711.33,963617.392
28,600660.SH,20210705,54.4,54.41,52.54,53.0,54.4,-1.4,-2.5735,233024.16,1236844.607
29,600660.SH,20210702,54.5,54.83,53.66,54.4,54.25,0.15,0.2765,162963.42,886991.944
30,600660.SH,20210701,55.17,55.72,54.06,54.25,55.1,-0.85,-1.5426,158001.5,863815.28
