xxxx,黄线超预期--20240925,codename null-**600619.Sh
xxxx,黄线超预期--20240925,codename null-**600619.Sh
xxxx,黄线超预期--20240925,codename null-**600619.Sh
xxxx,黄线超预期--20240925,codename null-**600619.Sh
xxxx,黄线超预期--20240925,codename null-**600619.Sh
xxxx,蓝线-低开高走-超预期--20241108,装修装饰,东易日盛**002713.SZ
xxxx,蓝线-低开高走-超预期--20241108,环境保护,岭南股份**002717.SZ
xxxx,蓝线-低开高走-超预期--20241108,钢加工,富煌钢构**002743.SZ
xxxx,蓝线-低开高走-超预期--20241108,机械基件,永和智控**002795.SZ
xxxx,蓝线-低开高走-超预期--20241108,证券,第一创业**002797.SZ
xxxx,蓝线-低开高走-超预期--20241108,电气设备,冠城大通**600067.SH
xxxx,蓝线-低开高走-超预期--20241108,红黄酒,中信尼雅**600084.SH
xxxx,蓝线-低开高走-超预期--20241108,煤炭开采,郑州煤电**600121.SH
xxxx,蓝线-低开高走-超预期--20241108,元器件,波导股份**600130.SH
xxxx,蓝线-低开高走-超预期--20241108,水务,武汉控股**600168.SH
xxxx,蓝线-低开高走-超预期--20241108,水运,安通控股**600179.SH
xxxx,蓝线-低开高走-超预期--20241108,装修装饰,创兴资源**600193.SH
xxxx,蓝线-低开高走-超预期--20241108,中成药,中恒集团**600252.SH
xxxx,蓝线-低开高走-超预期--20241108,渔业,大湖股份**600257.SH
xxxx,蓝线-低开高走-超预期--20241108,种植业,农发种业**600313.SH
xxxx,蓝线-低开高走-超预期--20241108,多元金融,新力金融**600318.SH
xxxx,蓝线-低开高走-超预期--20241108,供气供热,长春燃气**600333.SH
xxxx,蓝线-低开高走-超预期--20241108,园区开发,华夏幸福**600340.SH
xxxx,蓝线-低开高走-超预期--20241108,种植业,敦煌种业**600354.SH
xxxx,蓝线-低开高走-超预期--20241108,专用机械,精伦电子**600355.SH
xxxx,蓝线-低开高走-超预期--20241108,多元金融,五矿资本**600390.SH
xxxx,蓝线-低开高走-超预期--20241108,建筑工程,龙元建设**600491.SH
xxxx,蓝线-低开高走-超预期--20241108,区域地产,华丽家族**600503.SH
xxxx,蓝线-低开高走-超预期--20241108,化学制药,联环药业**600513.SH
xxxx,蓝线-低开高走-超预期--20241108,机场,海南机场**600515.SH
xxxx,蓝线-低开高走-超预期--20241108,医疗保健,交大昂立**600530.SH
xxxx,蓝线-低开高走-超预期--20241108,电气设备,亿晶光电**600537.SH
xxxx,蓝线-低开高走-超预期--20241108,纺织机械,卓郎智能**600545.SH
xxxx,蓝线-低开高走-超预期--20241108,普钢,安阳钢铁**600569.SH
xxxx,蓝线-低开高走-超预期--20241108,铝,中孚实业**600595.SH
xxxx,蓝线-低开高走-超预期--20241108,全国地产,绿地控股**600606.SH
xxxx,蓝线-低开高走-超预期--20241108,汽车配件,金杯汽车**600609.SH
xxxx,蓝线-低开高走-超预期--20241108,区域地产,光大嘉宝**600622.SH
xxxx,蓝线-低开高走-超预期--20241108,汽车配件,申达股份**600626.SH
xxxx,蓝线-低开高走-超预期--20241108,建筑工程,华建集团**600629.SH
xxxx,蓝线-低开高走-超预期--20241108,电器仪表,飞乐音响**600651.SH
xxxx,蓝线-低开高走-超预期--20241108,半导体,太极实业**600667.SH
xxxx,蓝线-低开高走-超预期--20241108,汽车配件,交运股份**600676.SH
xxxx,蓝线-低开高走-超预期--20241108,水泥,四川金顶**600678.SH
xxxx,蓝线-低开高走-超预期--20241108,多元金融,中航产融**600705.SH
xxxx,蓝线-低开高走-超预期--20241108,汽车整车,北汽蓝谷**600733.SH
xxxx,蓝线-低开高走-超预期--20241108,水运,海航科技**600751.SH
xxxx,蓝线-低开高走-超预期--20241108,仓储物流,保税科技**600794.SH
xxxx,蓝线-低开高走-超预期--20241108,水泥,福建水泥**600802.SH
xxxx,蓝线-低开高走-超预期--20241108,农业综合,东方集团**600811.SH
xxxx,蓝线-低开高走-超预期--20241108,多元金融,建元信托**600816.SH
xxxx,蓝线-低开高走-超预期--20241108,出版业,新华传媒**600825.SH
xxxx,蓝线-低开高走-超预期--20241108,百货,上海九百**600838.SH
xxxx,蓝线-低开高走-超预期--20241108,机械基件,晋亿实业**601002.SH
xxxx,蓝线-低开高走-超预期--20241108,焦炭加工,宝泰隆**601011.SH
xxxx,蓝线-低开高走-超预期--20241108,百货,国芳集团**601086.SH
xxxx,蓝线-低开高走-超预期--20241108,化工原料,君正集团**601216.SH
xxxx,蓝线-低开高走-超预期--20241108,专用机械,中信重工**601608.SH
xxxx,蓝线-低开高走-超预期--20241108,超市连锁,永辉超市**601933.SH
xxxx,蓝线-低开高走-超预期--20241108,装修装饰,全筑股份**603030.SH
xxxx,蓝线-低开高走-超预期--20241108,化学制药,莎普爱思**603168.SH
xxxx,蓝线-低开高走-超预期--20241108,服饰,日播时尚**603196.SH
xxxx,蓝线-低开高走-超预期--20241108,家居用品,梦百合**603313.SH
xxxx,蓝线-低开高走-超预期--20241108,农业综合,宏辉果蔬**603336.SH
xxxx,蓝线-低开高走-超预期--20241108,食品,惠发食品**603536.SH
xxxx,蓝线-低开高走-超预期--20241108,电气设备,华体科技**603679.SH
xxxx,蓝线-低开高走-超预期--20241108,农业综合,海利生物**603718.SH
xxxx,蓝线-低开高走-超预期--20241108,汽车配件,秦安股份**603758.SH
xxxx,蓝线-低开高走-超预期--20241108,区域地产,深振业A**000006.SZ
xxxx,蓝线-低开高走-超预期--20241108,其他商业,全新好**000007.SZ
xxxx,蓝线-低开高走-超预期--20241108,建筑工程,美丽生态**000010.SZ
xxxx,蓝线-低开高走-超预期--20241108,家用电器,深康佳A**000016.SZ
xxxx,蓝线-低开高走-超预期--20241108,全国地产,金融街**000402.SZ
xxxx,蓝线-低开高走-超预期--20241108,酒店餐饮,华天酒店**000428.SZ
xxxx,蓝线-低开高走-超预期--20241108,元器件,华塑控股**000509.SZ
xxxx,蓝线-低开高走-超预期--20241108,区域地产,渝开发**000514.SZ
xxxx,蓝线-低开高走-超预期--20241108,水运,凤凰航运**000520.SZ
xxxx,蓝线-低开高走-超预期--20241108,区域地产,深振业A**000006.SZ
xxxx,蓝线-低开高走-超预期--20241108,其他商业,全新好**000007.SZ
xxxx,蓝线-低开高走-超预期--20241108,建筑工程,美丽生态**000010.SZ
xxxx,蓝线-低开高走-超预期--20241108,家用电器,深康佳A**000016.SZ
xxxx,蓝线-低开高走-超预期--20241108,全国地产,金融街**000402.SZ
xxxx,蓝线-低开高走-超预期--20241108,酒店餐饮,华天酒店**000428.SZ
xxxx,蓝线-低开高走-超预期--20241108,元器件,华塑控股**000509.SZ
xxxx,蓝线-低开高走-超预期--20241108,区域地产,渝开发**000514.SZ
xxxx,蓝线-低开高走-超预期--20241108,水运,凤凰航运**000520.SZ
xxxx,蓝线-低开高走-超预期--20241108,化工原料,金浦钛业**000545.SZ
xxxx,蓝线-低开高走-超预期--20241108,多元金融,陕国投A**000563.SZ
xxxx,蓝线-低开高走-超预期--20241108,化学制药,海南海药**000566.SZ
xxxx,蓝线-低开高走-超预期--20241108,多元金融,海德股份**000567.SZ
xxxx,蓝线-低开高走-超预期--20241108,化学制药,东北制药**000597.SZ
xxxx,蓝线-低开高走-超预期--20241108,全国地产,新华联**000620.SZ
xxxx,蓝线-低开高走-超预期--20241108,石油加工,茂化实华**000637.SZ
xxxx,蓝线-低开高走-超预期--20241108,食品,西王食品**000639.SZ
xxxx,蓝线-低开高走-超预期--20241108,房产服务,荣丰控股**000668.SZ
xxxx,蓝线-低开高走-超预期--20241108,供气供热,惠天热电**000692.SZ
xxxx,蓝线-低开高走-超预期--20241108,商贸代理,厦门信达**000701.SZ
xxxx,蓝线-低开高走-超预期--20241108,百货,中兴商业**000715.SZ
xxxx,蓝线-低开高走-超预期--20241108,区域地产,苏宁环球**000718.SZ
xxxx,蓝线-低开高走-超预期--20241108,证券,国海证券**000750.SZ
xxxx,蓝线-低开高走-超预期--20241108,超市连锁,中百集团**000759.SZ
xxxx,蓝线-低开高走-超预期--20241108,区域地产,财信发展**000838.SZ
xxxx,蓝线-低开高走-超预期--20241108,区域地产,海南高速**000886.SZ
xxxx,蓝线-低开高走-超预期--20241108,区域地产,福星股份**000926.SZ
xxxx,蓝线-低开高走-超预期--20241108,纺织,欣龙控股**000955.SZ
xxxx,蓝线-低开高走-超预期--20241108,汽车配件,众泰汽车**000980.SZ
xxxx,蓝线-低开高走-超预期--20241108,仓储物流,传化智联**002010.SZ
xxxx,蓝线-低开高走-超预期--20241108,装修装饰,宝鹰股份**002047.SZ
xxxx,蓝线-低开高走-超预期--20241108,建筑工程,宏润建设**002062.SZ
xxxx,蓝线-低开高走-超预期--20241108,化工原料,黑猫股份**002068.SZ
xxxx,蓝线-低开高走-超预期--20241108,日用化工,青岛金王**002094.SZ
xxxx,蓝线-低开高走-超预期--20241108,全国地产,荣盛发展**002146.SZ
xxxx,蓝线-低开高走-超预期--20241108,装修装饰,海南发展**002163.SZ
xxxx,蓝线-低开高走-超预期--20241108,软件服务,延华智能**002178.SZ
xxxx,蓝线-低开高走-超预期--20241108,中成药,嘉应制药**002198.SZ
xxxx,蓝线-低开高走-超预期--20241108,医疗保健,新里程**002219.SZ
xxxx,蓝线-低开高走-超预期--20241108,其他建材,濮耐股份**002225.SZ
xxxx,蓝线-低开高走-超预期--20241108,汽车配件,奥特佳**002239.SZ
xxxx,蓝线-低开高走-超预期--20241108,软件服务,川大智胜**002253.SZ
xxxx,蓝线-低开高走-超预期--20241108,百货,友阿股份**002277.SZ
xxxx,蓝线-低开高走-超预期--20241108,房产服务,世联行**002285.SZ
xxxx,蓝线-低开高走-超预期--20241108,建筑工程,北新路桥**002307.SZ
xxxx,蓝线-低开高走-超预期--20241108,化工原料,川发龙蟒**002312.SZ
xxxx,蓝线-低开高走-超预期--20241108,建筑工程,雅博股份**002323.SZ
xxxx,蓝线-低开高走-超预期--20241108,广告包装,省广集团**002400.SZ
xxxx,蓝线-低开高走-超预期--20241108,家用电器,爱仕达**002403.SZ
xxxx,蓝线-低开高走-超预期--20241108,电器连锁,爱施德**002416.SZ
xxxx,蓝线-低开高走-超预期--20241108,小金属,云南锗业**002428.SZ
xxxx,蓝线-低开高走-超预期--20241108,化学制药,誉衡药业**002437.SZ
xxxx,蓝线-低开高走-超预期--20241108,软件服务,榕基软件**002474.SZ
xxxx,蓝线-低开高走-超预期--20241108,化工原料,宝莫股份**002476.SZ
xxxx,蓝线-低开高走-超预期--20241108,电气设备,协鑫集成**002506.SZ
xxxx,蓝线-低开高走-超预期--20241108,农药化肥,蓝丰生化**002513.SZ
xxxx,蓝线-低开高走-超预期--20241108,建筑工程,中化岩土**002542.SZ
xxxx,蓝线-低开高走-超预期--20241108,造纸,顺灏股份**002565.SZ
xxxx,蓝线-低开高走-超预期--20241108,食品,好想你**002582.SZ
xxxx,蓝线-低开高走-超预期--20241108,医药商业,瑞康医药**002589.SZ
xxxx,蓝线-低开高走-超预期--20241108,水泥,海南瑞泽**002596.SZ
xxxx,蓝线-低开高走-超预期--20241108,文教休闲,中公教育**002607.SZ
xxxx,蓝线-低开高走-超预期--20241108,石油开采,仁智股份**002629.SZ
xxxx,蓝线-低开高走-超预期--20241108,汽车配件,京威股份**002662.SZ
xxxx,蓝线-低开高走-超预期--20241108,服饰,乔治白**002687.SZ
xxxx,蓝线-低开高走-超预期--20241108,运输设备,远大智能**002689.SZ
xxxx,蓝线-低开高走-超预期--20241108,塑料,顾地科技**002694.SZ
xxxx,蓝线-低开高走-超预期--20241108,食品,海欣食品**002702.SZ
xxxx,蓝线-低开高走-超预期--20241108,装修装饰,东易日盛**002713.SZ
xxxx,蓝线-低开高走-超预期--20241108,环境保护,岭南股份**002717.SZ
xxxx,蓝线-低开高走-超预期--20241108,钢加工,富煌钢构**002743.SZ
xxxx,蓝线-低开高走-超预期--20241108,机械基件,永和智控**002795.SZ
xxxx,蓝线-低开高走-超预期--20241108,证券,第一创业**002797.SZ
xxxx,蓝线-低开高走-超预期--20241108,电气设备,冠城大通**600067.SH
xxxx,蓝线-低开高走-超预期--20241108,煤炭开采,郑州煤电**600121.SH
xxxx,蓝线-低开高走-超预期--20241108,元器件,波导股份**600130.SH
xxxx,蓝线-低开高走-超预期--20241108,水务,武汉控股**600168.SH
xxxx,蓝线-低开高走-超预期--20241108,水运,安通控股**600179.SH
xxxx,蓝线-低开高走-超预期--20241108,装修装饰,创兴资源**600193.SH
xxxx,蓝线-低开高走-超预期--20241108,中成药,中恒集团**600252.SH
xxxx,蓝线-低开高走-超预期--20241108,渔业,大湖股份**600257.SH
xxxx,蓝线-低开高走-超预期--20241108,种植业,农发种业**600313.SH
xxxx,蓝线-低开高走-超预期--20241108,多元金融,新力金融**600318.SH
